id,key,value,type
25686057,highway,motorway,regular
25686057,int_ref,AH3,regular
25686057,alt_name,八达岭高速,regular
25686057,short_name,京藏高速,regular
25686057,en,Badaling Expressway,alt_name
25719827,highway,track,regular
25719827,surface,sand,regular
25719827,tracktype,grade4,regular
25757014,oneway,yes,regular
25757014,source,Bing,regular
25757014,highway,motorway_link,regular
25847363,layer,-1,regular
25847363,tunnel,yes,regular
25847363,highway,footway,regular
25847373,highway,residential,regular
25847387,source,landsat,regular
25847387,building,yes,regular
25895786,name,IBM中国软件开发中心(钻石大厦),regular
25895786,en,IBM China Software Development Lab (Diamond Building),name
25895786,building,yes,regular
25895786,created_by,Potlatch 0.10f,regular
25906501,highway,footway,regular
25985494,name,黑陈路,regular
25985494,highway,track,regular
25985494,tracktype,grade3,regular
26064105,highway,service,regular
26119404,highway,footway,regular
26139095,ref,Tan Yv Road,regular
26139095,bicycle,yes,regular
26139095,highway,service,regular
26139095,tracktype,grade3,regular
26139127,highway,footway,regular
26139152,name,卧佛寺路,regular
26139152,highway,living_street,regular
26141450,name,上地桥,regular
26141450,gauge,1435,regular
26141450,bridge,yes,regular
26141450,colour,#F9E700,regular
26141450,railway,subway,regular
26141450,voltage,750,regular
26141450,frequency,0,regular
26141450,electrified,rail,regular
26141472,highway,tertiary_link,regular
26152119,highway,tertiary,regular
26152148,name,中关村一桥,regular
26152148,layer,1,regular
26152148,bridge,yes,regular
26152148,oneway,yes,regular
26152148,highway,primary,regular
26288494,layer,1,regular
26288494,bridge,yes,regular
26288494,oneway,yes,regular
26288494,highway,trunk_link,regular
26288890,lanes,4,regular
26288890,layer,2,regular
26288890,bridge,yes,regular
26288890,oneway,yes,regular
26288890,highway,trunk_link,regular
26289101,lanes,3,regular
26289101,oneway,yes,regular
26289101,highway,trunk_link,regular
26289499,ref,G106,regular
26289499,name,菜户营南路,regular
26289499,lanes,3,regular
26289499,layer,1,regular
26289499,bridge,yes,regular
26289499,oneway,yes,regular
26289499,highway,motorway,regular
26289499,en,Caihuying South Road,name
26290078,gauge,1435,regular
26290078,layer,1,regular
26290078,usage,main,regular
26290078,bridge,yes,regular
26290078,railway,rail,regular
26290078,voltage,25000,regular
26290078,frequency,50,regular
26290078,electrified,contact_line,regular
26290078,passenger_lines,2,regular
26295231,name,右安门东街,regular
26295231,oneway,yes,regular
26295231,highway,tertiary,regular
26295231,en,E. You'anmen Str,name
26295231,int_name,You'anmen Dongjie,regular
26295348,bridge,yes,regular
26295348,highway,trunk_link,regular
26320442,ref,X305,regular
26320442,name,怀昌路,regular
26320442,highway,secondary,regular
26320971,oneway,yes,regular
26320971,highway,secondary_link,regular
26328090,highway,tertiary,regular
26330053,highway,footway,regular
26334378,railway,rail,regular
26334378,service,spur,regular
26345734,highway,footway,regular
26345760,highway,footway,regular
26345790,source,landsat,regular
26345790,highway,residential,regular
26365184,railway,rail,regular
26365184,service,spur,regular
26365586,layer,1,regular
26365586,bridge,yes,regular
26365586,railway,rail,regular
26365973,railway,rail,regular
26388406,highway,tertiary,regular
26388406,created_by,Potlatch 0.10b,regular
26390117,building,yes,regular
26390117,shape,hipped,roof
26390246,building,yes,regular
26390246,name,West park entrance,regular
26390478,ref,S50,regular
26390478,name,东五环,regular
26390478,lanes,3,regular
26390478,oneway,yes,regular
26390478,highway,motorway,regular
26390478,en,5th Ring road,name
26391338,oneway,yes,regular
26391338,highway,motorway_link,regular
26391564,name,十八里店南桥,regular
26391564,lanes,4,regular
26391564,layer,1,regular
26391564,bridge,yes,regular
26391564,oneway,yes,regular
26391564,highway,trunk,regular
26392014,oneway,yes,regular
26392014,highway,motorway_link,regular
26394566,layer,1,regular
26394566,bridge,yes,regular
26394566,oneway,yes,regular
26394566,railway,rail,regular
26403673,oneway,yes,regular
26403673,highway,secondary_link,regular
26403673,junction,roundabout,regular
26403782,name,南三环东路,regular
26403782,oneway,yes,regular
26403782,highway,trunk,regular
26404004,name,南坞桥,regular
26404004,lanes,4,regular
26404004,layer,1,regular
26404004,bridge,yes,regular
26404004,oneway,yes,regular
26404004,highway,trunk,regular
26413660,source,landsat,regular
26427879,name,六环路,regular
26427879,lanes,2,regular
26427879,layer,1,regular
26427879,bridge,yes,regular
26427879,oneway,yes,regular
26427879,highway,motorway,regular
26427879,int_ref,AH3,regular
26427879,en,6th Ring Road,name
26427974,name,六环路,regular
26427974,lanes,2,regular
26427974,layer,1,regular
26427974,bridge,yes,regular
26427974,oneway,yes,regular
26427974,highway,motorway,regular
26427974,int_ref,AH3,regular
26427974,en,6th Ring Road,name
26428071,name,六环路,regular
26428071,lanes,2,regular
26428071,oneway,yes,regular
26428071,highway,motorway,regular
26428071,int_ref,AH3,regular
26428071,en,6th Ring Road,name
26428081,name,六环路,regular
26428081,lanes,2,regular
26428081,oneway,yes,regular
26428081,highway,motorway,regular
26428081,int_ref,AH3,regular
26428081,en,6th Ring Road,name
26428091,name,六环路,regular
26428091,lanes,2,regular
26428091,layer,1,regular
26428091,oneway,yes,regular
26428091,highway,motorway,regular
26428091,int_ref,AH3,regular
26428091,en,6th Ring Road,name
26428106,waterway,riverbank,regular
26428252,name,北苑路,regular
26428252,highway,tertiary,regular
26428252,int_name,Beiyuan Lu,regular
26428335,ref,S50,regular
26428335,name,北五环,regular
26428335,lanes,3,regular
26428335,oneway,yes,regular
26428335,highway,motorway,regular
26428335,en,North 5th Ring Road,name
26428335,maxspeed,100,regular
26514790,highway,pedestrian,regular
26514855,layer,-2,regular
26514855,source,landsat,regular
26514855,natural,water,regular
26514884,name,后海南沿,regular
26514884,highway,residential,regular
26514884,en,Houhai South,name
26514884,surface,asphalt,regular
26545792,highway,residential,regular
26560074,waterway,stream,regular
26560074,created_by,Merkaartor 0.11,regular
26560352,waterway,stream,regular
26569014,oneway,yes,regular
26569014,source,landsat,regular
26569014,highway,cycleway,regular
26679340,oneway,yes,regular
26679340,highway,secondary_link,regular
26679424,name,学院路,regular
26679424,oneway,yes,regular
26679424,highway,secondary,regular
26679424,en,Xueyuan Road,name
26729623,name,西关环岛,regular
26729623,lanes,2,regular
26729623,highway,primary,regular
26729623,junction,roundabout,regular
26729623,roundabout,yes,regular
26812135,name,中关村大街,regular
26812135,lanes,5,regular
26812135,oneway,yes,regular
26812135,highway,primary,regular
26812135,en,Zhongguancun Street,name
26812135,zh,中关村大街,name
26812135,zh_pinyin,Zhōngguāncūn dàjiē,name
26812153,highway,pedestrian,regular
26812207,right,lane,cycleway
26812207,highway,secondary,regular
26812207,name,东直门外大街,regular
26812207,en,Dongzhimen Outer Street,name
26812207,zh_pinyin,Dongzhimenwai Dajie,name
26812207,oneway,yes,regular
26812207,trolley_wire,yes,regular
26812235,source,landsat,regular
26812235,building,yes,regular
26812259,source,landsat,regular
26812259,building,yes,regular
26954134,highway,tertiary,regular
27031249,oneway,yes,regular
27031249,highway,trunk_link,regular
27031264,name,南三环西路,regular
27031264,oneway,yes,regular
